年度,受傷部位,行業別,受傷部位次數
2014,其他,礦業及土石採取業,1
2014,其他,食品製造業,18
2014,其他,飲料製造業,1
2014,其他,菸草製造業,0
2014,其他,紡織業,9
2014,其他,成衣及服飾品製造業,3
2014,其他,皮革、毛皮及其製品製造業,0
2014,其他,木竹製品製造業,2
2014,其他,紙漿、紙及紙製品製造業,3
2014,其他,印刷及資料儲存媒體複製業,0
2014,其他,石油及煤製品製造業,2
2014,其他,化學材料製造業,10
2014,其他,化學製品製造業,7
2014,其他,藥品製造業,6
2014,其他,橡膠製品製造業,8
2014,其他,塑膠製品製造業,14
2014,其他,非金屬礦物製品製造業,18
2014,其他,基本金屬製造業,14
2014,其他,金屬製品製造業,54
2014,其他,電子零組件製造業,85
2014,其他,電腦、電子產品及光學製品製造業,22
2014,其他,電力設備製造業,9
2014,其他,機械設備製造業,21
2014,其他,汽車及其零件製造業,5
2014,其他,其他運輸工具製造業,4
2014,其他,家具製造業,1
2014,其他,其他製造業,5
2014,其他,產業用機械設備維修及安裝業,0
2014,其他,電力及燃氣供應業,0
2014,其他,用水供應及污染整治業,14
2014,其他,營造業,24
2014,其他,批發及零售業,34
2014,其他,運輸及倉儲業,52
2014,其他,住宿及餐飲業,38
2014,其他,資訊及通訊傳播業,5
2014,其他,金融及保險業,26
2014,其他,不動產業,3
2014,其他,專業、科學及技術服務業,4
2014,其他,支援服務業,35
2014,其他,公共行政及國防；強制性社會安全,32
2014,其他,教育服務業,2
2014,其他,醫療保健及社會工作服務業,31
2014,其他,藝術、娛樂及休閒服務業,2
2014,其他,其他服務業,1
